	0	1	2	3	4	5	6
0				Media		Historico	
101				230.8538126			
102				230.8538126			
103				230.8538126			
104				230.8538126			
105				230.8538126			
106				230.8538126			
107				230.8538126			
108				230.8538126			
109				230.8538126			
110				230.8538126			
111				230.8538126			
112				230.8538126			
113				230.8538126			
114				230.8538126			
115				230.8538126			
116				230.8538126			
117				230.8538126			
118				230.8538126			
119				230.8538126			
120				230.8538126			
121				230.8538126			
122				230.8538126			
123				230.8538126			
124				230.8538126			
125				230.8538126			
126				230.8538126			
127				230.8538126			
128				230.8538126			
129				230.8538126			
130				230.8538126			
131				230.8538126			
132				230.8538126			
133				230.8538126			
134				230.8538126			
135				230.8538126			
136				230.8538126			
137				230.8538126			
138				230.8538126			
139				230.8538126			
140				230.8538126			
141				230.8538126			
142				230.8538126			
143				230.8538126			
144				230.8538126			
145				230.8538126			
146				230.8538126			
147				230.8538126			
148				230.8538126			
149				230.8538126			
150				230.8538126			
151				230.8538126			
152				230.8538126			
153				230.8538126			
154				230.8538126			
155				230.8538126			
156				230.8538126			
157				230.8538126			
158				230.8538126			
159				230.8538126			
160				230.8538126			
161				230.8538126			
162				230.8538126			
163				230.8538126			
164				230.8538126			
165				230.8538126			
166				230.8538126			
167				230.8538126			
168				230.8538126			
169				230.8538126			
170				230.8538126			
171				230.8538126			
172				230.8538126			
173				230.8538126			
174				230.8538126			
175				230.8538126			
176				230.8538126			
177				230.8538126			
178				230.8538126			
179				230.8538126			
180				230.8538126			
181				230.8538126			
182				230.8538126			
183				230.8538126			
184				230.8538126			
185				230.8538126			
186				230.8538126			
187				230.8538126			
188				230.8538126			
189				230.8538126			
190				230.8538126			
191				230.8538126			
192				230.8538126			
193				230.8538126			
194				230.8538126			
195				230.8538126			
196				230.8538126			
197				230.8538126			
198				230.8538126			
199				230.8538126			
200				230.8538126			
201				230.8538126			
202				230.8538126			
203				230.8538126			
204				230.8538126			
205				230.8538126			
206				230.8538126			
207				230.8538126			
208				230.8538126			
209				230.8538126			
210				230.8538126			
211				230.8538126			
212				230.8538126			
213				230.8538126			
214				230.8538126			
215				230.8538126			
216				230.8538126			
217				230.8538126			
218				230.8538126			
219				230.8538126			
220				230.8538126			
221				230.8538126			
222				230.8538126			
223				230.8538126			
224				230.8538126			
225				230.8538126			
226				230.8538126			
227				230.8538126			
228				230.8538126			
229				230.8538126			
230				230.8538126			
231				230.8538126			
232				230.8538126			
233				230.8538126			
234				230.8538126			
235				230.8538126			
236				230.8538126			
237				230.8538126			
238				230.8538126			
239				230.8538126			
240				230.8538126			
241				230.8538126			
242				230.8538126			
243				230.8538126			
